rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points
214;Colin Wilson;NSH;C;81;11;22;33;22;22;44
215;Vladimir Sobotka;STL;L;61;9;24;33;18;24;42
216;Jason Garrison;VAN;D;81;7;26;33;21;52;73
217;Christian Ehrhoff;BUF;D;79;6;27;33;18;54;72
218;Jack Johnson;CBJ;D;82;5;28;33;15;56;71
219;Cody Franson;TOR;D;79;5;28;33;15;56;71
220;Ryan Garbutt;DAL;L;75;17;15;32;34;15;49
221;Patrik Berglund;STL;C;78;14;18;32;28;18;46
222;Nick Spaling;NSH;C;71;13;19;32;26;19;45
223;John Mitchell;COL;C;75;11;21;32;22;21;43
224;Ray Whitney;DAL;L;69;9;23;32;18;23;41
225;Andy Greene;NJD;D;82;8;24;32;24;48;72
226;Justin Faulk;CAR;D;76;5;27;32;15;54;69
227;Nathan Gerbe;CAR;L;81;16;15;31;32;15;47
228;Kyle Palmieri;ANA;R;71;14;17;31;28;17;45
229;Eric Fehr;WSH;R;73;13;18;31;26;18;44
230;Alex Galchenyuk;MTL;C;65;13;18;31;26;18;44
231;Jake Gardiner;TOR;D;80;10;21;31;30;42;72
232;Dion Phaneuf;TOR;D;80;8;23;31;24;46;70
233;Nick Leddy;CHI;D;82;7;24;31;21;48;69
234;TJ Brodie;CGY;D;81;4;27;31;12;54;66
235;Matthew Carle;TBL;D;82;2;29;31;6;58;64
236;Jiri Tlusty;CAR;L;68;16;14;30;32;14;46
237;Dwight King;LAK;L;77;15;15;30;30;15;45
238;Charlie Coyle;MIN;C;70;12;18;30;24;18;42
239;Marian Gaborik;CBJ, LAK;R;41;11;19;30;22;19;41
240;Tobias Enstrom;WPG;D;82;10;20;30;30;40;70
241;Rich Peverley;DAL;C;62;7;23;30;14;23;37
242;Hampus Lindholm;ANA;D;78;6;24;30;18;48;66
243;Daniel Winnik;ANA;C;76;6;24;30;12;24;36
244;Erik Cole;DAL;L;75;16;13;29;32;13;45
245;Sean Bergenheim;FLA;L;62;16;13;29;32;13;45
246;Boone Jenner;CBJ;C;72;16;13;29;32;13;45
247;Antoine Roussel;DAL;L;81;14;15;29;28;15;43
248;Zack Kassian;VAN;R;73;14;15;29;28;15;43
249;Tyler Toffoli;LAK;C;62;12;17;29;24;17;41
250;Saku Koivu;ANA;C;65;11;18;29;22;18;40
251;Patrick Maroon;ANA;L;62;11;18;29;22;18;40
252;Jacob Trouba;WPG;D;65;10;19;29;30;38;68
253;Olli Maatta;PIT;D;78;9;20;29;27;40;67
254;Kris Russell;CGY;D;68;7;22;29;21;44;65
255;Eric Gelinas;NJD;D;60;7;22;29;21;44;65
256;Martin Erat;WSH, PHX;R;70;3;26;29;6;26;32
257;Dany Heatley;MIN;L;76;12;16;28;24;16;40
258;Matt Cooke;MIN;L;82;10;18;28;20;18;38
259;Joe Colborne;CGY;C;80;10;18;28;20;18;38
260;Justin Abdelkader;DET;L;70;10;18;28;20;18;38
261;Mike Santorelli;VAN;C;49;10;18;28;20;18;38
262;Jonathan Huberdeau;FLA;L;69;9;19;28;18;19;37
263;Tomas Fleischmann;FLA;L;80;8;20;28;16;20;36
264;Marcus Kruger;CHI;C;81;8;20;28;16;20;36
265;Andre Benoit;COL;D;79;7;21;28;21;42;63
266;Andrew MacDonald;NYI, PHI;D;82;4;24;28;12;48;60
267;Tom Gilbert;FLA;D;73;3;25;28;9;50;59
268;Dustin Brown;LAK;R;79;15;12;27;30;12;42
269;Devin Setoguchi;WPG;R;75;11;16;27;22;16;38
270;Teemu Selanne;ANA;R;64;9;18;27;18;18;36
271;Maxime Talbot;PHI, COL;C;81;8;19;27;16;19;35
272;Jarret Stoll;LAK;C;78;8;19;27;16;19;35
273;Ryan Ellis;NSH;D;80;6;21;27;18;42;60
274;Morgan Rielly;TOR;D;73;2;25;27;6;50;56
275;Chris Stewart;STL, BUF;R;63;15;11;26;30;11;41
276;Brock Nelson;NYI;C;72;14;12;26;28;12;40
277;Ben Smith;CHI;R;75;14;12;26;28;12;40
278;Dainius Zubrus;NJD;R;82;13;13;26;26;13;39
279;Brandon Sutter;PIT;C;81;13;13;26;26;13;39
280;Lars Eller;MTL;C;77;12;14;26;24;14;38
281;Michael Grabner;NYI;R;64;12;14;26;24;14;38
282;Gabriel Bourque;NSH;L;74;9;17;26;18;17;35
283;Cory Conacher;OTT, BUF;C;79;7;19;26;14;19;33
284;Ryane Clowe;NJD;L;43;7;19;26;14;19;33
285;Jared Spurgeon;MIN;D;67;5;21;26;15;42;57
286;Niklas Hjalmarsson;CHI;D;81;4;22;26;12;44;56
287;Fedor Tyutin;CBJ;D;69;4;22;26;12;44;56
288;Tomas Hertl;SJS;C;37;15;10;25;30;10;40
289;Daniel Briere;MTL;C;69;13;12;25;26;12;38
290;Brenden Morrow;STL;L;71;13;12;25;26;12;38
291;Brandon Pirri;CHI, FLA;C;49;13;12;25;26;12;38
292;Marcel Goc;FLA, PIT;C;74;11;14;25;22;14;36
293;Damien Brunner;NJD;R;60;11;14;25;22;14;36
294;Nick Holden;COL;D;54;10;15;25;30;30;60
295;Trevor Daley;DAL;D;67;9;16;25;27;32;59
296;Lauri Korpikoski;PHX;L;64;9;16;25;18;16;34
297;Dougie Hamilton;BOS;D;64;7;18;25;21;36;57
298;Seth Jones;NSH;D;77;6;19;25;18;38;56
299;Curtis Glencross;CGY;L;38;12;12;24;24;12;36
300;Nail Yakupov;EDM;R;63;11;13;24;22;13;35
301;Matt Nieto;SJS;L;66;10;14;24;20;14;34
302;Riley Nash;CAR;C;73;10;14;24;20;14;34
303;Matt Calvert;CBJ;L;56;9;15;24;18;15;33
304;Matt Beleskey;ANA;L;55;9;15;24;18;15;33
305;Riley Sheahan;DET;C;42;9;15;24;18;15;33
306;Kyle Brodziak;MIN;C;81;8;16;24;16;16;32
307;Tuomo Ruutu;CAR, NJD;R;76;8;16;24;16;16;32
308;Aleksander Barkov;FLA;C;54;8;16;24;16;16;32
309;Dan Girardi;NYR;D;81;5;19;24;15;38;53
310;Marc-Edouard Vlasic;SJS;D;81;5;19;24;15;38;53
311;Jake Muzzin;LAK;D;76;5;19;24;15;38;53
312;Kevin Bieksa;VAN;D;76;4;20;24;12;40;52
313;Steve Downie;COL, PHI;R;62;4;20;24;8;20;28
314;Shawn Matthias;FLA, VAN;C;77;12;11;23;24;11;35
315;Brad Richardson;VAN;R;73;11;12;23;22;12;34
316;Ryan Smyth;EDM;L;72;10;13;23;20;13;33
317;Jakob Silfverberg;ANA;R;52;10;13;23;20;13;33
318;Steve Ott;BUF, STL;C;82;9;14;23;18;14;32
319;Marc Methot;OTT;D;75;6;17;23;18;34;52
320;Vernon Fiddler;DAL;C;76;6;17;23;12;17;29
321;Johnny Boychuk;BOS;D;75;5;18;23;15;36;51
322;Danny DeKeyser;DET;D;65;4;19;23;12;38;50
323;Patrick Wiercioch;OTT;D;53;4;19;23;12;38;50
324;Zack Smith;OTT;C;82;13;9;22;26;9;35
325;Marty Havlat;SJS;R;48;12;10;22;24;10;34
326;Alec Martinez;LAK;D;61;11;11;22;33;22;55
327;Kris Letang;PIT;D;37;11;11;22;33;22;55
328;Tyler Myers;BUF;D;62;9;13;22;27;26;53
329;Michael Raffl;PHI;L;68;9;13;22;18;13;31
330;David Moss;PHX;R;79;8;14;22;16;14;30
331;Patrick Dwyer;CAR;R;75;8;14;22;16;14;30
332;Zemgus Girgensons;BUF;C;70;8;14;22;16;14;30
333;Alexander Edler;VAN;D;63;7;15;22;21;30;51
334;Andrej Meszaros;PHI, BOS;D;52;7;15;22;21;30;51
335;Andrei Loktionov;NJD, CAR;C;68;7;15;22;14;15;29
336;Dan Hamhuis;VAN;D;79;5;17;22;15;34;49
337;Thomas Hickey;NYI;D;82;4;18;22;12;36;48
338;Radko Gudas;TBL;D;73;3;19;22;9;38;47
339;Sergei Gonchar;DAL;D;76;2;20;22;6;40;46
340;Eric Nystrom;NSH;L;79;15;6;21;30;6;36
341;Justin Fontaine;MIN;R;66;13;8;21;26;8;34
342;Paul Gaustad;NSH;C;75;10;11;21;20;11;31
343;Elias Lindholm;CAR;C;58;9;12;21;18;12;30
344;Michael Stone;PHX;D;70;8;13;21;24;26;50
345;Boyd Gordon;EDM;C;74;8;13;21;16;13;29
346;Gregory Campbell;BOS;C;82;8;13;21;16;13;29
347;Paul Byron;CGY;C;47;7;14;21;14;14;28
348;Sami Vatanen;ANA;D;48;6;15;21;18;30;48
349;Ryan Murray;CBJ;D;66;4;17;21;12;34;46
350;Dennis Wideman;CGY;D;46;4;17;21;12;34;46
351;Darren Helm;DET;C;42;12;8;20;24;8;32
352;Jannik Hansen;VAN;R;71;11;9;20;22;9;31
353;Rob Klinkhammer;PHX;C;72;11;9;20;22;9;31
354;Nikolai Kulemin;TOR;L;70;9;11;20;18;11;29
355;Shawn Horcoff;DAL;C;77;7;13;20;14;13;27
356;Pascal Dupuis;PIT;R;39;7;13;20;14;13;27
357;Kyle Chipchura;PHX;C;80;5;15;20;10;15;25
358;James Sheppard;SJS;L;67;4;16;20;8;16;24
359;Jordie Benn;DAL;D;78;3;17;20;9;34;43
360;Cal Clutterbuck;NYI;R;73;12;7;19;24;7;31
361;David Booth;VAN;L;66;9;10;19;18;10;28
362;Jonas Brodin;MIN;D;79;8;11;19;24;22;46
363;Dmitry Kulikov;FLA;D;81;8;11;19;24;22;46
364;Marcus Foligno;BUF;L;74;7;12;19;14;12;26
365;Brendan Smith;DET;D;71;5;14;19;15;28;43
366;Nathan Horton;CBJ;R;36;5;14;19;10;14;24
367;J.T. Brown;TBL;R;63;4;15;19;8;15;23
368;Matt Irwin;SJS;D;62;2;17;19;6;34;40
369;Jakub Kindl;DET;D;66;2;17;19;6;34;40
370;Jimmy Hayes;CHI, FLA;R;55;11;7;18;22;7;29
371;Chris Kelly;BOS;C;57;9;9;18;18;9;27
372;Derek MacKenzie;CBJ;C;71;9;9;18;18;9;27
373;Daniel Paille;BOS;L;72;9;9;18;18;9;27
374;Nikita Kucherov;TBL;R;52;9;9;18;18;9;27
375;Jesse Winchester;FLA;C;52;9;9;18;18;9;27
376;Viktor Stalberg;NSH;L;70;8;10;18;16;10;26
377;Colin McDonald;NYI;R;70;8;10;18;16;10;26
378;Ryan Strome;NYI;C;37;7;11;18;14;11;25
379;Brian Boyle;NYR;C;82;6;12;18;12;12;24
380;Dominic Moore;NYR;C;73;6;12;18;12;12;24
381;Ben Lovejoy;ANA;D;78;5;13;18;15;26;41
382;Mark Arcobello;EDM;C;41;4;14;18;8;14;22
383;Travis Hamonic;NYI;D;69;3;15;18;9;30;39
384;Andrew Ference;EDM;D;71;3;15;18;9;30;39
385;Karl Alzner;WSH;D;82;2;16;18;6;32;38
386;Matt Bartkowski;BOS;D;64;0;18;18;0;36;36
